.imp,age,race_ethn,year,var,pop,m,q,p,lx,d,L,t,e,c,s,se
2,1,AI/AN,2015,3028,76991,0.03932927225260095,0.038570791669320426,0.9614292083306796,91739.09506735997,3538.4495237751253,89969.8703054724,1272900.7062154715,13.87522631742592,0.08260904932640023,0.9173909506735998,0.002198694866449071
2,2,AI/AN,2015,2431,76335,0.031846466234361694,0.03134731562014429,0.9686526843798557,88200.64554358485,2764.853473755211,86818.21880670724,1182930.835909999,13.411816077076748,0.11799354456415156,0.8820064554358484,0.0021138894648108594
2,3,AI/AN,2015,2287,77462,0.029524153778626938,0.02909465622634548,0.9709053437736546,85435.79206982964,2485.7249996972387,84192.92956998102,1096112.6171032917,12.829665302422676,0.1456420793017036,0.8543579206982964,0.0020476247045713362
2,4,AI/AN,2015,2090,75847,0.027555473519058103,0.02718098111637101,0.972819018883629,82950.0670701324,2254.6642066349596,81822.73496681493,1011919.6875333106,12.199142487464844,0.17049932929867606,0.8295006707013239,0.0019880497677112604
2,5,AI/AN,2015,1955,77347,0.02527570558651273,0.024960261476294134,0.9750397385237058,80695.40286349744,2014.1783554077992,79688.31368579355,930096.9525664957,11.52602155217971,0.19304597136502566,0.8069540286349743,0.0019340126245166952
2,6,AI/AN,2015,1875,76940,0.02436963867949051,0.024076273634875283,0.9759237263651247,78681.22450808964,1894.350691183834,77734.04916249771,850408.6388807022,10.808279156779863,0.21318775491910358,0.7868122450808964,0.0018857391637103046
2,7,AI/AN,2015,1625,79389,0.0204688306944287,0.02026146643142585,0.9797385335685741,76786.8738169058,1555.814666215374,76008.96648379811,772674.5897182045,10.062586889011861,0.2321312618309419,0.7678687381690581,0.0018403375916008142
2,8,AI/AN,2015,1451,79881,0.018164519723088093,0.018001029693635127,0.9819989703063648,75231.05915069043,1354.236529655187,74553.94088586283,696665.6232344062,9.260345807958927,0.24768940849309573,0.7523105915069043,0.0018030496532661028
2,9,AI/AN,2015,1361,78257,0.017391415464431296,0.017241488519398256,0.9827585114806018,73876.82262103524,1273.746389070191,73239.94942650016,622111.6823485434,8.4209317655657685,0.26123177378964757,0.7387682262103524,0.0017705929029185616
2,10,AI/AN,2015,1160,77782,0.014913476125581753,0.014803093336055742,0.9851969066639442,72603.07623196505,1074.7501139465603,72065.70117499177,548871.7329220433,7.559896376407131,0.2739692376803494,0.7260307623196506,0.0017400652457103636
2,11,AI/AN,2015,1075,75927,0.014158336296706047,0.014058811605385507,0.9859411883946145,71528.32611801849,1005.603261341792,71025.5244873476,476806.0317470515,6.665974972772929,0.2847167388198151,0.7152832611801849,0.001714306897467286
2,12,AI/AN,2015,1060,74717,0.014186865104326993,0.014086940343136603,0.9859130596568634,70522.7228566767,993.4493897175707,70025.99816181792,405780.50725970394,5.75389733723656,0.294772771433233,0.705227228566767,0.0016902057797619804
2,13,AI/AN,2015,1075,74215,0.014484942397089537,0.014380789940135781,0.9856192100598642,69529.27346695913,999.8858764186007,69029.33052874982,335754.50909788604,4.828966165703418,0.3047072653304087,0.6952927346695913,0.0016663959517748486
2,14,AI/AN,2015,1005,74852,0.013426494950034736,0.01333696063274257,0.9866630393672574,68529.38759054053,913.9737444809871,68072.40071830004,266725.1785691361,3.892128442221094,0.31470612409459475,0.6852938759054052,0.0016424318616352815
2,15,AI/AN,2015,988,76591,0.012899687952892638,0.012817020172536811,0.9871829798274632,67615.41384605954,866.6281232393667,67182.09978443987,198652.77785083625,2.937980654871245,0.32384586153940453,0.6761541384605955,0.0016205268125546902
